medicine,company,price,date
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,PharmEasy,30.16,2025-12-22
dolo 650,1mg,29.3,2025-12-22
dolo 650,Netmeds.com,28.25,2025-12-22
dolo 650,amazon.in,31.13,2025-12-22
dolo 650,1mg,30.4,2025-12-22
Dolo 650,Apollo247,28.8,2025-12-22
Dolo 650,1mg,29.3,2025-12-22
Dolo 650,PharmEasy,30.16,2025-12-22
Dolo 650,Netmeds.com,28.25,2025-12-22
Dolo 650,amazon.in,31.13,2025-12-22
Dolo 650,1mg,30.4,2025-12-22
crocin,amazon.in,17.38,2025-12-22
crocin,PharmEasy,26.67,2025-12-22
crocin,1mg,18.9,2025-12-22
crocin,Ayush Care,32.13,2025-12-22
crocin,PharmEasy,82.0,2025-12-22
crocin,amazon.in,70.53,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,PharmEasy,30.16,2025-12-22
dolo 650,1mg,29.3,2025-12-22
dolo 650,Netmeds.com,28.25,2025-12-22
dolo 650,amazon.in,31.13,2025-12-22
Paracetamol,PharmEasy,8.71,2025-12-22
Paracetamol,1mg,23.9,2025-12-22
Paracetamol,amazon.in,18.42,2025-12-22
Paracetamol,Flipkart,32.0,2025-12-22
Paracetamol,1mg,30.2,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,PharmEasy,30.16,2025-12-22
dolo 650,1mg,29.3,2025-12-22
dolo 650,Netmeds.com,28.25,2025-12-22
dolo 650,amazon.in,31.13,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,Wellnessforever,32.13,2025-12-22
dolo 650,Planet Health,32.0,2025-12-22
dolo 650,1mg,14.9,2025-12-22
dolo 650,medibuddy.in,31.06,2025-12-22
dolo 650,Wockhardt Epharmacy,33.76,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,Wellnessforever,32.13,2025-12-22
dolo 650,Planet Health,32.0,2025-12-22
dolo 650,1mg,14.9,2025-12-22
dolo 650,medibuddy.in,31.06,2025-12-22
caugh syrup,1mg,157.0,2025-12-22
caugh syrup,Apollo247,28.0,2025-12-22
caugh syrup,Chemist180,18.49,2025-12-22
caugh syrup,Apollo247,35.5,2025-12-22
caugh syrup,Prabhat Ayurvedic Pharmacy,45.0,2025-12-22
caugh syrup,1mg,157.0,2025-12-22
caugh syrup,Apollo247,28.0,2025-12-22
caugh syrup,Chemist180,18.49,2025-12-22
caugh syrup,Apollo247,35.5,2025-12-22
caugh syrup,Prabhat Ayurvedic Pharmacy,45.0,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,Wellnessforever,32.13,2025-12-22
dolo 650,Planet Health,32.0,2025-12-22
dolo 650,1mg,14.9,2025-12-22
dolo 650,medibuddy.in,31.06,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,Wellnessforever,32.13,2025-12-22
dolo 650,Planet Health,32.0,2025-12-22
dolo 650,1mg,14.9,2025-12-22
dolo 650,medibuddy.in,31.06,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,Wellnessforever,32.13,2025-12-22
dolo 650,Planet Health,32.0,2025-12-22
dolo 650,1mg,14.9,2025-12-22
dolo 650,medibuddy.in,31.06,2025-12-22
dolo 650,Apollo247,28.8,2025-12-22
dolo 650,Wellnessforever,32.13,2025-12-22
